Product,Category,Brand,Price,Seller_name,Average_Product_rating,Buyer_comments,Buyer_comment_title,Buyer_product_review
SABAH Pink Printed Bamboo Shawl For Women,Charity & Donation,SABAH,Rs1015,Sabah Nepal,0,,,
SABAH Brown AZO Free Dye Shawl For Women,Charity & Donation,SABAH,Rs895,Sabah Nepal,0,,,
Donate To Provide A Quality Education,Charity & Donation,,Rs1000,Teach for Nepal,5,,,
Donate To Provide A Quality Education,Charity & Donation,,Rs5000,Teach for Nepal,4,,,
SABAH Light Green Woolen Knitted Cap For Women,Charity & Donation,SABAH,Rs335,Sabah Nepal,0,,,
SABAH Multi-Color Woolen Knitted Cap For Women,Charity & Donation,SABAH,Rs220,Sabah Nepal,0,,,
SABAH Multicolored Check Style Allo Purse,Charity & Donation,SABAH,Rs260,Sabah Nepal,0,,,
SABAH Multi-Color Woolen Knitted Cap For Women,Charity & Donation,SABAH,Rs220,Sabah Nepal,0,,,
Green/White Floral Printed 5D Bed Set With Duvet Cover,Home & Living,,Rs1900,Rangoli,0,,,
Multicolor Striped Bed Set With Duvet Cover,Home & Living,,Rs1800,Rangoli,3,,,
Yellow/Blue Floral Printed Cotton Cushion Cover,Home & Living,,Rs350,Rangoli,0,,,
Table Umbrella,Home & Living,,Rs500,NayaaNaulo,0,,,
Light Yellow Multi Floral Printed 5D Bed Set With Duvet Cover,Home & Living,,Rs1900,Rangoli,0,,,
Space Saving Shoe Organizer,Home & Living,,Rs400,NayaaNaulo,0,,,
Yellow/Red Floral Printed 5D Bed Set With Duvet Cover,Home & Living,,Rs1900,Rangoli,0,,,
SABAH Brown Square 100% Bamboo Printed Shawl For Women,Charity & Donation,SABAH,Rs895,Sabah Nepal,0,,,
SABAH Light Blue Square 100% Bamboo Printed Shawl For Women,Charity & Donation,SABAH,Rs1015,Sabah Nepal,0,,,
SABAH Green Square 100% Bamboo Printed Shawl For Women,Charity & Donation,SABAH,Rs1015,Sabah Nepal,0,,,
SABAH Royal Blue Square 100% Bamboo Printed Shawl For Women,Charity & Donation,SABAH,Rs1015,Sabah Nepal,0,,,
Technos 24K5 24 Inch LED TV,"TVs, Audio & Cameras",Technos,Rs12750,R.N Electronics,5,,,
GuitarShop EXL120 D'addario Nickel Wound Super Light String,"TVs, Audio & Cameras",GuitarShop,Rs200,GuitarShop,5,,,
4 USB Hexagon Power Socket Extension Plug Electrical Outlet,"TVs, Audio & Cameras",,Rs499,NDR Gadget,0,,,
"Toshiba 55L5650VL 55""  FHD 1080p Smart LED TV - (Black)","TVs, Audio & Cameras",Toshiba,Rs92900,Sonam Vision,0,,,
Action Camera HD 1080p 12MP Waterproof Sports Camera (1080P),"TVs, Audio & Cameras",,Rs2200,Best Choice,3.6,,,
Flash Softbox Light Diffuser Speedlite Translucent Soft Box For DSLR Camera Big,"TVs, Audio & Cameras",,Rs950,waiwaiparts,0,,,
Blue/Beige Cotton Embroidered Cushion Cover,Home & Living,,Rs500,Rangoli,0,,,
Brown/Black Cotton Embroidered Cushion Cover,Home & Living,,Rs500,Rangoli,0,,,
Grip Grabber Pick Up Tool For Remover/Litter Picker/Garden Nabber,Home & Living,,Rs500,NayaaNaulo,0,,,
Green/Yellow Cotton Embroidered Cushion Cover,Home & Living,,Rs500,Rangoli,0,,,
"Videocon 55DN5-S 55"" 4K UHD Android Smart LED TV","TVs, Audio & Cameras",Videocon,Rs65100,UltimateElectronics,5,,,
Ash Grey Fur Pattern Cushion Cover,Home & Living,,Rs500,Rangoli,0,,,
Orange Fur Pattern Cushion Cover,Home & Living,,Rs500,Rangoli,0,,,
Light Maroon Fur Pattern Cushion Cover,Home & Living,,Rs500,Rangoli,0,,,
Grey Fur Pattern Cushion Cover,Home & Living,,Rs500,Rangoli,0,,,
3pcs Garden Tool Designed Colorful Cute Shaped Outdoor Planting Tool Set,Home & Living,,Rs450,NayaaNaulo,0,,,
Beige/White Striped Cotton Cushion Cover,Home & Living,,Rs350,Rangoli,0,,,
Multi Floral Printed Cotton Cushion Cover,Home & Living,,Rs350,Rangoli,0,,,
"Wega 32"" Normal HD Double Glass LED TV - (Black)","TVs, Audio & Cameras",Wega,Rs18800,Friendly Deal,5,,,
CF50350( 350 / 50 mm) Monocular Space Astronomical Telescope,"TVs, Audio & Cameras",,Rs10999,sastotrade,5,,,
Videocon 32DN5-S 32 Inches Android Smart LED TV,"TVs, Audio & Cameras",Videocon,Rs28500,New Sampurna Electronics,0,,,
Joyo (JMT-9006B) Metro-Tuner,"TVs, Audio & Cameras",Joyo,Rs500,GuitarShop,5,,,
"Mantra Astitva 3 Single Coil Pickup Electric Guitar With Bag, Capo, Pick, String, Strap And Certificate - Light Brown","TVs, Audio & Cameras",Mantra,Rs12500,GuitarShop,0,,,
Beige Fur Pattern Cushion Cover,Home & Living,,Rs500,Rangoli,0,,,
Mantra Printed Guitar Strap-Multicolor,"TVs, Audio & Cameras",Mantra,Rs500,GuitarShop,0,,,
HDMI Wifi Dongle Tv Screen Anycast Airplay DLNA Display,"TVs, Audio & Cameras",,Rs1515,e dokaan,5,,,
58mm Tulip Flower Lens Hood For Canon Nikon DSLR,"TVs, Audio & Cameras",,Rs499,waiwaiparts,0,,,
32GB 1080P USB SPY Camera,"TVs, Audio & Cameras",,Rs4960,mystorenepal,2,,,
100 Pcs Stars Luminous Fluorescent Home Decor Wall Stickers,Home & Living,,Rs250,NewLifeStyle,0,,,
Water Spray Gun For Car/Bike,Home & Living,,Rs250,e dokaan,0,,,
Soft Vision Portable Folding and Covering Metal Stand 4 Layer Shoe Rack (Color Vary),Home & Living,Soft Vision,Rs1599,softvisionmultisolution,0,,,
Water Spray Gun For Car/Bike,Home & Living,,Rs250,Nepbuy Store,0,,,
Rotating 12 Piece Spice Rack- Coffee Brown ,Home & Living,,Rs2499,Gadget Guru,0,,,
32 in 1 Magnetic Screwdriver Tool Kit,Home & Living,,Rs250,Nepbuy Store,0,,,
Induspro Hot Glue Gun + 10 Pc Hot Glue Stick,Home & Living,Induspro,Rs499,sastotrade,0,,,
Silver Frameless Modern DIY Wall Clock - BORA033,Home & Living,,Rs2200,Maya Bedding and Decor,0,,,
Geometric Shapes Wall Decor Stickers,Home & Living,,Rs299,NewLifeStyle,3,,,
12 Pcs Rotating Spice Rack - (Green),Home & Living,,Rs1530,HNP enterprises,0,,,
Adjustable Tabletop Steady-ShotHand Grip Tripod for GoPro,"TVs, Audio & Cameras",,Rs399,waiwaiparts,0,,,
GuitarShop Guitar Bag- Black,"TVs, Audio & Cameras",GuitarShop,Rs450,GuitarShop,0,,,
Three-way Adjustable Pivot Arm with Quick Clip For Gopro,"TVs, Audio & Cameras",,Rs350,waiwaiparts,0,,,
GuitarShop Nepali Flute,"TVs, Audio & Cameras",GuitarShop,Rs550,GuitarShop,5,,Nepali flute ,10
8GB Digital Telephone / Voice Recorder VOR REC+MP3 player,"TVs, Audio & Cameras",,Rs3085,Best Choice,0,,,
Smart Tag Bluetooth Anti-lost Tracker Tracking Key Finder Tracer,"TVs, Audio & Cameras",,Rs799,Gadget Guru,0,,,
Audio To Audio Cable,"TVs, Audio & Cameras",,Rs110,Len Den,0,,,
Multicolor Floral Printed Door Mat,Home & Living,,Rs400,Mero Shopping,0,,,
"DMS 24"" Ukulele - (Brown)","TVs, Audio & Cameras",DMS,Rs3300,Music Point,0,,,
Multicolored Couple Snow Globe Showpiece ,Home & Living,,Rs1400,Garima Gift and Flower,0,,,
Multicolored Micro Tex Printed King Size Bedsheet With 2 Pillow Covers - MI-039,Home & Living,,Rs3500,Lotus Nepal,0,,,
Yellow Traditional Crafted Wooden Showpiece,Home & Living,,Rs3200,Crafts Souvenir,0,,,
Brass Glossy Singing Hand Hammered Bowl,Home & Living,,Rs3900,Nepal Organic Club,0,,,
Archies Pink Plastic Flower Showpiece,Home & Living,Archies,Rs1095,Archies Nepal,0,,,
SP Gadgets POV Pole 36inch For Gopro,"TVs, Audio & Cameras",,Rs1199,waiwaiparts,0,,,
Archies Ocean Blue Swan Couple Bird Showpiece,Home & Living,Archies,Rs1500,Archies Nepal,0,,,
Archies White 'For A Lovely Friend' Printed Showpiece,Home & Living,Archies,Rs1050,Archies Nepal,0,,,
